"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"SG_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"NM_REGIAO";"SG_UF_PROGRAMA";"SG_ENTIDADE_ENSINO";"NM_PROGRAMA_IES";"NM_GRAU_PROGRAMA";"QFGDi";"QDP";"DFGDi";"FCDi"
"1806";"32018010010P2";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";"SUDESTE";"MG";"UFSJ";"TECNOLOGIAS PARA O DESENVOLVIMENTO SUSTENTÁVEL";"MESTRADO";29;28;1,03571428571429;1,03571428571429
"1807";"32018010011P9";"BIOTECNOLOGIA";"BIOT";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"4";"SUDESTE";"MG";"UFSJ";"BIOTECNOLOGIA";"MESTRADO/DOUTORADO";13;21;0,619047619047619;0,619047619047619
"1808";"32018010012P5";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";"SUDESTE";"MG";"UFSJ";"CIÊNCIAS AGRÁRIAS";"MESTRADO";19;22;0,863636363636364;0,863636363636364
"1809";"32018010013P1";"FARMÁCIA";"FARM";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";"SUDESTE";"MG";"UFSJ";"CIÊNCIAS FARMACÊUTICAS";"MESTRADO";18;28;0,642857142857143;0,642857142857143
"1810";"32018010014P8";"ENFERMAGEM";"ENFE";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";"SUDESTE";"MG";"UFSJ";"ENFERMAGEM";"MESTRADO";24;47;0,51063829787234;0,51063829787234
"1811";"32018010015P4";"ENGENHARIAS II";"ENGII";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";"SUDESTE";"MG";"UFSJ";"ENGENHARIA QUÍMICA";"MESTRADO";30;38;0,789473684210526;0,789473684210526
"1812";"32018010016P0";"GEOGRAFIA";"GEOG";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";"SUDESTE";"MG";"UFSJ";"GEOGRAFIA";"MESTRADO";22;38;0,578947368421053;0,578947368421053
"1813";"32018010040P9";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";"SUDESTE";"MG";"UFSJ";"ECOLOGIA";"MESTRADO";17;18;0,944444444444444;0,944444444444444
"1814";"32018010041P5";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";"SUDESTE";"MG";"UFSJ";"INTERDISCIPLINAR EM ARTES, URBANIDADES E SUSTENTABILIDADE";"MESTRADO";42;70;0,6;0,6
"1815";"32018010042P1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;27;26;1,03846153846154;1,03846153846154
